0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:47 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16598
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:47 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:49 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:49 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:52 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:52 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:59 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:59 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16598
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:12:00 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:12:00 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 17084
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:12:05 +0300] "POST /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 126
